Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>"
2406658307,"May 29, 2019, 2:51:27 PM",Afternoon Run,Run,,3377,9.63,,,false,,activities/2406658307.gpx,0.0,,,3037.0,9636.2998046875,4.400000095367432,,40.302001953125,42.60200119018555,0.5,15.399999618530273,16.700000762939453,-0.023868082091212273,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,9688.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423402088,"Jun 4, 2019, 5:14:54 PM",Evening Run,Run,,2438,7.40,,,false,,activities/2423402088.gpx,0.0,,,2436.0,7399.5,3.9000000953674316,,4.133333206176758,4.233329772949219,19.5,23.700000762939453,2.700000047683716,-0.0013514426536858082,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,7407.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2429351263,"Jun 6, 2019, 7:54:49 PM",Night Run,Run,,2363,7.22,,,false,,activities/2429351263.gpx,0.0,,,2349.0,7223.60009765625,6.300000190734863,,4.125640869140625,3.6256399154663086,19.5,23.700000762939453,4.0,0.00692175654694438,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,7232.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439124356,"Jun 10, 2019, 12:58:05 PM",Afternoon Run,Run,,3813,10.87,162.0,78,false,,activities/2439124356.gpx,0.0,,,3484.0,10878.099609375,4.300000190734863,,8.470219612121582,8.670220375061035,19.5,24.100000381469727,3.0999999046325684,-0.0018385563744232059,,,,,162.0,,,,0.0,,,78.0,,,,,,,,,,,,,,,,10889.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445202856,"Jun 12, 2019, 7:05:34 PM",Night Run,Run,,2754,8.48,,,false,,activities/2445202856.gpx,0.0,,,2740.0,8485.7001953125,4.5,,3.5547618865966797,4.4547600746154785,19.5,24.100000381469727,3.0,-0.010606078431010246,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,8492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458529341,"Jun 17, 2019, 7:08:08 PM",Night Run,Run,,4477,13.50,166.0,122,false,,activities/2458529341.gpx,0.0,,,4446.0,13507.7998046875,4.199999809265137,,13.869441032409668,13.969400405883789,19.399999618530273,24.600000381469727,4.0,-0.0007403130293823779,,,,,166.0,,,,0.0,,,122.0,,,,,,,,,,,,,,,,13530.099609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463342179,"Jun 19, 2019, 3:34:44 PM",Afternoon Run,Run,,2517,7.48,163.0,51,false,,activities/2463342179.gpx,0.0,,,2427.0,7483.60009765625,4.699999809265137,,4.143750190734863,4.143750190734863,19.5,23.700000762939453,2.700000047683716,0.0,,,,,163.0,,,,0.0,,,51.0,,,,,,,,,,,,,,,,7491.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480176845,"Jun 25, 2019, 6:42:47 PM",Evening Run,Run,,2362,6.90,174.0,60,false,,activities/2480176845.gpx,0.0,,2362.0,2362.0,6901.5,4.0,,7.3216552734375,7.42165994644165,13.0,23.899999618530273,50.0,-0.0014489603927358985,,,,,174.0,,,,0.0,,,60.0,,,,,,,,,,,,,,,,6963.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484402408,"Jun 27, 2019, 10:10:03 AM",Lunch Run,Run,,3370,10.00,163.0,83,false,,activities/2484402408.gpx,0.0,,3370.0,3247.0,10007.2998046875,4.199999809265137,,8.517949104309082,8.617950439453125,19.5,23.700000762939453,3.0,-0.0009992705890908837,,,,,163.0,,,,0.0,,,83.0,,,,,,,,,,,,,,,,10017.900390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502754977,"Jul 4, 2019, 6:24:02 AM",Koekestad,Run,,2896,9.00,,,false,,activities/2502754977.gpx,0.0,,2896.0,2784.0,9001.7001953125,5.900000095367432,,32.14244079589844,31.742399215698242,0.0,15.399999618530273,8.699999809265137,0.004443604964762926,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,9053.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
